id,code,description,description_es
1,10,Live Plant and Animal Material and Accessories and Supplies,"Material Vivo Vegetal y Animal, Accesorios y Suministros"
2,11,Mineral and Textile and Inedible Plant and Animal Materials,"Material Mineral, Textil y  Vegetal y Animal No Comestible"
3,12,Chemicals including Bio Chemicals and Gas Materials,Material Químico incluyendo Bioquímicos y Materiales de Gas
4,13,Resin and Rosin and Rubber and Foam and Film and Elastomeric Materials,"Materiales de Resina, Colofonia, Caucho, Espuma, Película y Elastómericos"
5,14,Paper Materials and Products,Materiales y Productos de Papel
6,15,Fuels and Fuel Additives and Lubricants and Anti corrosive Materials,"Materiales Combustibles, Aditivos para Combustibles, Lubricantes y Anticorrosivos"
7,20,Mining and Well Drilling Machinery and Accessories,Maquinaria y Accesorios de Minería y Perforación de Pozos
8,21,Farming and Fishing and Forestry and Wildlife Machinery and Accessories,"Maquinaria y Accesorios para Agricultura, Pesca, Silvicultura y Fauna"
9,22,Building and Construction Machinery and Accessories,Maquinaria y Accesorios para Construcción y Edificación
10,23,Industrial Manufacturing and Processing Machinery and Accessories,Maquinaria y Accesorios para Manufactura y Procesamiento Industrial
11,24,Material Handling and Conditioning and Storage Machinery and their Accessories and Supplies,"Maquinaria, Accesorios y Suministros para Manejo, Acondicionamiento y Almacenamiento de Materiales"
12,25,Commercial and Military and Private Vehicles and their Accessories and Components,"Vehículos Comerciales, Militares y Particulares, Accesorios y Componentes"
13,26,Power Generation and Distribution Machinery and Accessories,Maquinaria y Accesorios para Generación y Distribución de Energía
14,27,Tools and General Machinery,Herramientas y Maquinaria General
15,30,Structures and Building and Construction and Manufacturing Components and Supplies,"Componentes y Suministros para Estructuras, Edificación, Construcción y Obras Civiles"
16,31,Manufacturing Components and Supplies,Componentes y Suministros de Manufactura
17,32,Electronic Components and Supplies,Componentes y Suministros Electrónicos
18,39,Electrical Systems and Lighting and Components and Accessories and Supplies,"Componentes, Accesorios y Suministros de Sistemas Eléctricos e Iluminación"
19,40,Distribution and Conditioning Systems and Equipment and Components,Componentes y Equipos para Distribución y Sistemas de Acondicionamiento
20,41,Laboratory and Measuring and Observing and Testing Equipment,"Equipos y Suministros de Laboratorio, de Medición, de Observación y de Pruebas"
21,42,Medical Equipment and Accessories and Supplies,"Equipo Médico, Accesorios y Suministros"
22,43,Information Technology Broadcasting and Telecommunications,Difusión de Tecnologías de Información y Telecomunicaciones
23,44,Office Equipment and Accessories and Supplies,"Equipos de Oficina, Accesorios y Suministros"
24,45,Printing and Photographic and Audio and Visual Equipment and Supplies,"Equipos y Suministros para Impresión, Fotografia y Audiovisuales"
25,46,Defense and Law Enforcement and Security and Safety Equipment and Supplies,"Equipos y Suministros de Defensa, Orden Publico, Proteccion, Vigilancia y Seguridad"
26,47,Cleaning Equipment and Supplies,Equipos de Limpieza y Suministros
27,48,Service Industry Machinery and Equipment and Supplies,"Maquinaria, Equipo y Suministros para la Industria de Servicios"
28,49,Sports and Recreational Equipment and Supplies and Accessories,"Equipos, Suministros y Accesorios para Deportes y Recreación"
29,50,Food Beverage and Tobacco Products,"Alimentos, Bebidas y Tabaco "
30,51,Drugs and Pharmaceutical Products,Medicamentos y Productos Farmacéuticos
31,52,Domestic Appliances and Supplies and Consumer Electronic Products,"Artículos Domésticos, Suministros y Productos Electrónicos de Consumo "
32,53,Apparel and Luggage and Personal Care Products,"Ropa, Maletas y Productos de Aseo Personal"
33,54,Timepieces and Jewelry and Gemstone Products,"Productos para Relojería, Joyería y Piedras Preciosas"
34,55,Published Products,"Publicaciones Impresas, Publicaciones Electrónicas y Accesorios"
35,56,Furniture and Furnishings,"Muebles, Mobiliario y Decoración"
36,60,Musical Instruments and Games and Toys and Arts and Crafts and Educational Equipment and Materials and Accessories and Supplies,"Instrumentos Musicales, Juegos, Juguetes, Artes, Artesanías y Equipo educativo, Materiales, Accesorios y Suministros"
37,70,Farming and Fishing and Forestry and Wildlife Contracting Services,"Servicios de Contratacion Agrícola, Pesquera, Forestal y de Fauna"
38,71,Mining and oil and gas services,"Servicios de Minería, Petróleo y Gas"
39,72,Building and Facility Construction and Maintenance Services ,"Servicios de Edificación, Construcción de Instalaciones y Mantenimiento"
40,73,Industrial Production and Manufacturing Services,Servicios de Producción Industrial y Manufactura
41,76,Industrial Cleaning Services,"Servicios de Limpieza, Descontaminación y Tratamiento de Residuos"
42,77,Environmental Services,Servicios Medioambientales
43,78,Transportation and Storage and Mail Services,"Servicios de Transporte, Almacenaje y Correo"
44,80,Management and Business Professionals and Administrative Services,"Servicios de Gestión, Servicios Profesionales de Empresa y Servicios Administrativos"
45,81,Engineering and Research and Technology Based Services,"Servicios Basados en Ingeniería, Investigación y Tecnología"
46,82,Editorial and Design and Graphic and Fine Art Services,"Servicios Editoriales, de Diseño, de Artes Graficas y Bellas Artes"
47,83,Public Utilities and Public Sector Related Services,Servicios Públicos y Servicios Relacionados con el Sector Público
48,84,Financial and Insurance Services,Servicios Financieros y de Seguros
49,85,Healthcare Services,Servicios de Salud
50,86,Education and Training Services,Servicios Educativos y de Formación
51,90,Travel and Food and Lodging and Entertainment Services,"Servicios de Viajes, Alimentación, Alojamiento y Entretenimiento"
52,91,Personal and Domestic Services,Servicios Personales y Domésticos
53,92,National Defense and Public Order and Security and Safety Services,"Servicios de Defensa Nacional, Orden Publico, Seguridad y Vigilancia"
54,93,Politics and Civic Affairs Services,Servicios Políticos y de Asuntos Cívicos
55,94,Organizations and Clubs,Organizaciones y Clubes
56,95,Land and Buildings and Structures and Thoroughfares,"Terrenos, Edificios, Estructuras y Vías"
